retailer,product_id,name,brand,size_raw,price,was_price,unit_price,unit_measure,is_on_special,result_rank,search_term,category,snapshot_date,fetched_at
woolworths,888137,Woolworths Full Cream Milk 2L,Woolworths,2L,3.55,3.55,1.78,1L,False,1,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,88436,Dairy Farmers Full Cream Milk 2L,Dairy Farmers,2L,4.7,4.7,2.35,1L,False,2,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,44528,Norco Full Cream Milk 2L,Norco,2L,5.05,5.05,2.53,1L,False,3,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,113887,Riverina Fresh Full Cream Milk 2L,Riverina,2L,5.15,5.15,2.58,1L,False,4,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,757826,Farmers Own Full Cream Homogenised 2L,Farmers Own,2L,3.95,3.95,1.98,1L,False,5,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,154465,Norco Organic Milk 2L,Norco,2L,7.2,7.2,3.6,1L,False,6,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,896367,Norco Pure Jersey Milk 2L,Norco,2L,6.55,6.55,3.28,1L,False,7,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,406949,The Little Big Dairy Company Full Cream Milk 2L,The Little Big Dairy Company,2L,7.45,7.45,3.73,1L,False,8,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,785722,Pauls Zymil Lactose Free Full Cream Milk 2L,Pauls,2L,5.95,6.9,2.98,1L,True,9,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,789208,Riverina Fresh Lactose Free Full Cream Milk 2L,Riverina,2L,6.3,6.3,3.15,1L,False,10,full cream milk 2l,dairy,2026-08-22,2026-08-22T01:48:10.399241+00:00
woolworths,260729,Norco Skim Milk 2L,Norco,2L,5.05,5.05,2.53,1L,False,1,skim milk 2l,dairy,2026-08-22,2026-08-22T01:48:27.562593+00:00
woolworths,89926,Dairy Farmers Skim Milk 2L,Dairy Farmers,2L,5.05,5.05,2.53,1L,False,2,skim milk 2l,dairy,2026-08-22,2026-08-22T01:48:27.562593+00:00
